hello xin_chao
world the_gioi
love yeu
friend ban
family gia_dinh
food thuc_an
drink do_uong
school truong_hoc
teacher giao_vien
student hoc_sinh
computer may_tinh
phone dien_thoai
book sach
pen but
city thanh_pho
village lang
country dat_nuoc
car xe_hoi
bike xe_dap
air may_bay
train tau
boat thuyen
dog cho
cat meo
fish ca
bird chim
house nha
building toa_nha
garden vuon
flower hoa
tree cay
leaf la
sky bau_troi
star ngoi_sao
moon mat_trang
sun mat_troi
light anh_sang
dark bong_toi
water nuoc
fire lua
mountain nui
river song
ocean dai_duong
forest rung
desert sa_mac
snow tuyet
rain mua
wind gio
storm bao
earth dat
